pamphlet	パンフレット
pan	パン
pant	パンツ
paperback	ペーパーバック
paperwork	事務処理
parade	パレード
paralegal	パラリーガル
paraphrase	言い換え
parcel	小包
partial	部分的
partially	部分的に
passport	パスポート
password	パスワード
pasta	パスタ
pastry	ペストリー
patent	特許
patience	根気
patron	パトロン
payable	支払います
paycheck	給料
payroll	給与計算
pedestrian	歩行者
penalize	PENALIZE
pepper	コショウ
performer	パフォーマー
periodical	定期刊行物
periodically	定期的に
permanently	永久に
personalize	パーソナライズ
pet	ペット
petition	嘆願
pharmaceutical	製薬
pharmacist	薬剤師
pharmacy	薬局
photocopier	コピー機
photocopy	コピー
photographer	写真家
photography	写真術
physician	医師
physics	物理
picnic	ピクニック
pie	パイ
pill	ピル
pillow	枕
pizza	ピザ
placement	配置
planner	プランナー
plausible	尤もらしいです
plow	プラウ
plug	プラグ
plumber	配管工
pole	ポール
polish	研磨
polite	丁寧
pollute	汚染
poorly	不完全に
popcorn	ポップコーン
popularity	人気
portable	ポータブル
portfolio	ポートフォリオ
postage	送料
postal	郵便
postcard	葉書
poster	ポスター
postpone	後回し
pottery	陶器
precede	先行
prediction	予測
preliminary	予備的
premium	プレミアム
prescribe	プリスク
prescription	処方
presenter	プレゼンター
prestigious	名門
preview	試写
probable	ありそう
productive	生産
productivity	生産性
professionally	専門的に
proficiency	熟練
profitable	有益
programmer	プログラマー
prohibit	禁止します
projection	投影
projector	プロジェクター
prominent	主要
promotional	プロモーション
promptly	即時
proofread	校正
prospective	プロスペクティブ
protective	保護
provider	プロバイダ
publicity	宣伝
publicize	公表
publish	出版します
punctual	パンクチュアル
purchaser	購入者
purse	財布
purser	パーサー
puzzle	パズル
quarterly	季刊
query	質問
questionnaire	アンケート
quit	終了する
rack	ラック
railway	鉄道
raincoat	レインコート
rainfall	降雨
rainy	雨の
ray	レイ
realistic	現実的
realtor	不動産業者
rearrange	再配置
reassure	安心させます
rebate	リベート
receipt	領収書
reception	受信
receptionist	受付
recession	不況
recipe	レシピ
recipient	受信者
reconsider	考え直します
recreation	レクリエーション
recreational	レクリエーション
recruiter	リクルーター
recruitment	募集
recur	RECUR
recycle	リサイクル
redecorate	改装
redesign	再設計
referee	審判
referral	照会
refinery	精錬所
reflexive	反射的
refresh	リフレッシュ
refreshment	リフレッシュ
refrigerator	冷蔵庫
refund	返金
refundable	返金
rehearsal	リハーサル
rehearse	リハーサル
reimburse	返済します
reimbursement	弁償
reinforce	強化する
relaxation	くつろぎ
reliability	確実
relieve	リリーフ
relocate	再配置
relocation	移転
reluctant	消極的
remainder	余り
reminder	リマインダー
remodel	改造します
removal	除去
renew	書き換えます
renewal	リニューアル
renovate	改修
renovation	更新
renown	高名
rental	レンタル
renter	借家人
reopen	再開する
repairperson	修理人
repeatedly	繰り返し
repetition	繰り返し
replacement	置換
reproduce	再生
reschedule	再スケジュール
resemble	似ています
reservation	予約
residence	レジデンス
residential	居住の
resignation	辞任
respondent	被告
restatement	修正再表示
restroom	トイレ
resume	履歴書
résumé	履歴書
retailer	小売店
retreat	退却
retrieve	検索します
reunion	再会
reviewer	レビュー
revision	リビジョン
revolutionize	革命を
rewrite	リライト
rider	ライダー
rose	ローズ
rubber	ゴム
rug	ラグ
rumor	噂
runner	ランナー
safely	安全に
salad	サラダ
salesman	セールスマン
salespeople	営業担当者
salesperson	店員
salon	サロン
sandwich	サンドイッチ
satellite	衛星